id;ward_code;name;name_en;full_name;full_name_en;code_name;administrative_unit_id;created_at;updated_at;is_deleted;deleted_at;deleted_by;district_id
1;accept toady basic;writhing following;minus extremely bah;lest jam-packed mockingly;whether;modulo beneath;15408;2025-10-07T00:04:34;2025-10-06T14:27:53;false;2025-10-06T15:51:09;9530237b-49d4-4226-bc26-cbc5c27bf4b8;1
2;scarily;drum overburden;sense phooey;whistle meanwhile freckle;times;catch miscalculate analogy;2363;2025-10-07T09:13:34;2025-10-07T10:33:28;false;2025-10-06T14:08:55;92b682ed-c8ac-4e54-ac19-09da52821a92;2
3;which lively;obedience;in even;where as rapidly;broadly what;athwart aw;1460;2025-10-06T18:16:28;2025-10-07T02:57:53;true;2025-10-07T07:12:05;42855e88-29a9-4424-8303-975f1148782e;3
4;mispronounce;kissingly going gape;hence;tuba why needy;whereas;qua;1168;2025-10-06T23:03:27;2025-10-06T20:44:48;false;2025-10-06T11:22:09;3023af83-8be1-4af1-b5f5-775e8b20a896;4
5;provided instance;woefully;anti;that;midst eek;gad among;23310;2025-10-07T01:39:44;2025-10-07T03:53:18;true;2025-10-06T16:54:15;8583eaa3-935a-4bd7-ad75-1b6f8258178c;5
6;unconscious into which;hurtful major;dicker sternly;happily towards;imagineer monasticism rise;after;14219;2025-10-06T19:19:31;2025-10-06T19:26:59;true;2025-10-06T21:45:03;b69b1428-14c1-41b1-9b21-ddaf08861df2;6
7;jut archaeology;fatally;yet better;throughout victoriously peppery;schedule;brr;18543;2025-10-06T16:31:21;2025-10-07T00:11:27;false;2025-10-07T04:38:54;6d27c556-4572-499b-9732-f7dfee72410a;7
8;yippee;gah underpants;indeed parched encode;accompany brightly;or ugh;lovable spork;21079;2025-10-06T21:26:14;2025-10-06T16:19:52;true;2025-10-06T17:08:23;f9365603-03e2-4e5e-9411-d1512b6554db;8
9;thoroughly teriyaki;ditch properly unto;nightlife tough mid;commodity incidentally;until;doubtfully lazily;21823;2025-10-06T11:21:54;2025-10-07T03:27:29;true;2025-10-06T23:57:12;8bdc09a4-f1ae-4b23-baa5-54888d346a27;9
10;design save;woefully now;lest;helpfully wetly hm;unless;blah among nocturnal;6701;2025-10-06T23:48:03;2025-10-07T06:12:24;false;2025-10-06T16:29:39;5de2aca0-1599-477f-99dd-692923dc400f;10
