id;province_code;name;name_en;full_name;full_name_en;code_name;administrative_unit_id;administrative_region_id;created_at;updated_at;is_deleted;deleted_at;deleted_by
1;violently separately dulcimer;incidentally obtrude finished;justly for upon;geez little plus;provision ajar bleakly;tray scruple;667;19210;2025-09-22T23:35:47;2025-09-22T15:18:01;false;2025-09-23T09:13:56;7ae75b31-4da0-4da8-911b-154937700e51
2;unto;vaguely;handle anxiously;zowie;shy creak hmph;pish;23417;21330;2025-09-22T21:30:27;2025-09-22T21:39:54;false;2025-09-23T02:30:05;6ed86463-c34e-42b8-a37d-5d1ca260f89c
3;turbulent punctually;crafty cantaloupe minus;chatter;modulo diver or;oddball that;broadly;32729;23726;2025-09-22T23:00:27;2025-09-23T08:52:15;true;2025-09-23T09:51:31;3e7c5d96-7942-4e76-a7ad-6af4c9fa3f0b
4;colorfully;geez next absent;convalesce wherever better;defiantly witty now;although reproach metallic;advanced;24790;14393;2025-09-22T17:33:15;2025-09-22T17:00:23;false;2025-09-23T12:11:00;5dc90df3-d605-4e30-8808-cc64a28b5db7
5;supplier rundown;blah;whether shudder joint;unless metabolise;thoughtfully confusion with;obtrude;19447;20441;2025-09-23T05:36:07;2025-09-22T22:14:02;false;2025-09-23T08:02:39;80751129-84e5-4920-a6c8-bed3c8df2c5a
6;strict broadly debut;boiling;imagineer;but athwart zowie;hungry;um;9075;8504;2025-09-22T23:30:17;2025-09-22T14:13:31;true;2025-09-22T21:34:31;eb4e137b-2c62-46d4-9e5c-1ffd5f0bb626
7;around excepting nimble;exactly castanet;gently stoop;pillory;as since energetic;webbed why;11585;116;2025-09-22T18:07:35;2025-09-23T05:44:24;true;2025-09-23T03:05:13;0da18f95-11f7-48e3-bba7-8998fd640ded
8;willow;intrepid phew worth;minus;rarely neatly;convoke ostrich flowery;sure-footed defendant next;13966;26050;2025-09-22T19:57:28;2025-09-23T06:31:13;true;2025-09-22T23:11:59;37f9077c-b67b-476a-b76c-334587a938ef
9;colorfully yesterday;dimly;sun or whoa;pigpen table;quizzically failing;consequently boo;13725;8750;2025-09-23T12:44:11;2025-09-23T10:37:24;false;2025-09-22T21:01:35;55f42678-5ffc-4798-b0f1-91bb1252f028
10;emerge;ornery before;greedily;potentially afore;yum squeaky swill;since powerfully recklessly;4233;7597;2025-09-22T23:25:36;2025-09-23T00:58:35;false;2025-09-22T19:04:08;7d18c620-a75d-4286-9b17-e20c0f642b5a
