id;district_code;name;name_en;full_name;full_name_en;code_name;administrative_unit_id;created_at;updated_at;is_deleted;deleted_at;deleted_by;province_id
1;angrily;frantically tune-up;summarise;obligation;mortise;definitive scarification;22619;2025-09-21T13:54:09;2025-09-21T21:27:22;false;2025-09-21T18:32:48;c75a93f1-2abd-4d29-b2cb-df4628dd40a9;1
2;happily warp roughly;thigh on considering;versus beneath;uneven;yum;pip masculinize circle;19883;2025-09-21T19:24:07;2025-09-21T13:56:59;false;2025-09-22T04:12:35;e3ce086c-3446-4913-998e-8d72b433b243;2
3;CD always from;request unethically meanwhile;rue but;furthermore dreamily;trick joyous spring;standard;8471;2025-09-21T12:27:31;2025-09-21T13:56:17;true;2025-09-21T14:57:23;b45dea27-dac4-43d0-b03a-a52a46ad6dcb;3
4;eek about astride;kindly amidst;anti;decent below;dead instead;whose consequently;8086;2025-09-21T13:47:24;2025-09-21T16:03:45;false;2025-09-22T10:24:36;630798c7-6b73-4b91-b550-f3834d691f2f;4
5;even inside;woot gleefully equally;to coincide;scar exalt well;yet;colorless concerned;4345;2025-09-22T10:13:04;2025-09-22T05:16:17;false;2025-09-22T01:03:28;a5a71447-f082-4146-a792-ac8b5b4701e2;5
6;round as;rewrite;supposing fraudster;on serene;careless;spectate including;32274;2025-09-21T16:31:02;2025-09-21T18:28:51;false;2025-09-22T07:36:11;3edec83a-18f0-4986-aab3-2d8495934b1a;6
7;excellent;book since;geez although unto;excess uh-huh;indeed zowie;because though stark;19244;2025-09-21T13:48:31;2025-09-22T09:54:17;false;2025-09-21T20:54:25;0504460b-eb9a-468a-9004-e489a52ae677;7
8;instead;eek;instantly;um ouch intently;save;amidst drat hence;16609;2025-09-22T00:15:16;2025-09-22T11:07:01;false;2025-09-21T13:35:49;338da2f5-cefd-4bcf-a401-386835ec938f;8
9;hidden;towards through;yieldingly;leading as creaking;valiantly fork afore;wildly midst sedately;24636;2025-09-22T08:06:56;2025-09-21T22:37:13;false;2025-09-21T17:22:04;b6437e0e-93d4-4467-bfb8-4068b3cb9053;9
10;at mechanic suspiciously;to darling;truthfully;godfather;commandeer thyme furthermore;circumnavigate;25450;2025-09-22T09:07:09;2025-09-22T01:33:56;true;2025-09-22T09:51:17;d7b6772d-a64c-45f4-8ae1-59f3ce5a5ac8;10
