id;district_code;name;name_en;full_name;full_name_en;code_name;administrative_unit_id;created_at;updated_at;is_deleted;deleted_at;deleted_by;province_id
1;angrily;frantically tune-up;summarise;obligation;mortise;definitive scarification;22619;2025-10-06T13:31:39;2025-10-06T21:04:52;false;2025-10-06T18:10:18;c75a93f1-2abd-4d29-b2cb-df4628dd40a9;1
2;happily warp roughly;thigh on considering;versus beneath;uneven;yum;pip masculinize circle;19883;2025-10-06T19:01:37;2025-10-06T13:34:29;false;2025-10-07T03:50:05;e3ce086c-3446-4913-998e-8d72b433b243;2
3;CD always from;request unethically meanwhile;rue but;furthermore dreamily;trick joyous spring;standard;8471;2025-10-06T12:05:01;2025-10-06T13:33:47;true;2025-10-06T14:34:53;b45dea27-dac4-43d0-b03a-a52a46ad6dcb;3
4;eek about astride;kindly amidst;anti;decent below;dead instead;whose consequently;8086;2025-10-06T13:24:54;2025-10-06T15:41:15;false;2025-10-07T10:02:06;630798c7-6b73-4b91-b550-f3834d691f2f;4
5;even inside;woot gleefully equally;to coincide;scar exalt well;yet;colorless concerned;4345;2025-10-07T09:50:34;2025-10-07T04:53:47;false;2025-10-07T00:40:58;a5a71447-f082-4146-a792-ac8b5b4701e2;5
6;round as;rewrite;supposing fraudster;on serene;careless;spectate including;32274;2025-10-06T16:08:32;2025-10-06T18:06:21;false;2025-10-07T07:13:41;3edec83a-18f0-4986-aab3-2d8495934b1a;6
7;excellent;book since;geez although unto;excess uh-huh;indeed zowie;because though stark;19244;2025-10-06T13:26:01;2025-10-07T09:31:47;false;2025-10-06T20:31:55;0504460b-eb9a-468a-9004-e489a52ae677;7
8;instead;eek;instantly;um ouch intently;save;amidst drat hence;16609;2025-10-06T23:52:46;2025-10-07T10:44:31;false;2025-10-06T13:13:19;338da2f5-cefd-4bcf-a401-386835ec938f;8
9;hidden;towards through;yieldingly;leading as creaking;valiantly fork afore;wildly midst sedately;24636;2025-10-07T07:44:26;2025-10-06T22:14:43;false;2025-10-06T16:59:34;b6437e0e-93d4-4467-bfb8-4068b3cb9053;9
10;at mechanic suspiciously;to darling;truthfully;godfather;commandeer thyme furthermore;circumnavigate;25450;2025-10-07T08:44:39;2025-10-07T01:11:26;true;2025-10-07T09:28:47;d7b6772d-a64c-45f4-8ae1-59f3ce5a5ac8;10
