id;province_id;district_id;ward_id;created_at;updated_at;is_deleted;deleted_at;deleted_by;condition_id
1;b88407f8-ae09-4953-9dcc-a87b9f86728a;1ab2fa92-1d91-4be6-bfc4-9f57abdb2733;7aae7d3b-c53a-470e-a3fd-6a9f70f690e0;2025-09-22T03:14:48;2025-09-22T05:23:27;true;2025-09-21T19:48:03;1ebcff59-a78d-4503-9d00-7fa539a9f9bc;1
2;586f19dc-4e5e-4a35-861b-c7a182856837;ec98b959-ef9f-420f-bd02-8b11d20dd7ce;f019ab52-32a9-43db-8cc8-d41b40ce22c9;2025-09-22T03:28:47;2025-09-22T08:16:33;false;2025-09-21T14:03:31;0d26933a-18d6-4909-a351-5d52b8b62d23;2
3;4ed7ef26-e8b2-4d85-9047-dd64042ea27f;788c1ea7-46d8-4feb-bdcf-6ef2c60c0f1d;c91126a3-c06c-45df-8c47-1ed1b250e81c;2025-09-22T06:19:20;2025-09-21T14:59:41;false;2025-09-21T22:20:27;3501452d-74b0-4f64-af14-402de8721c12;3
4;d5e1c7ae-d843-4ad6-b910-f7f2d92ab19b;d8ee88db-b8eb-49a7-95fc-afd183798294;6856262c-7ed0-4e37-9dec-476d3348b9f1;2025-09-21T14:22:33;2025-09-22T00:12:45;false;2025-09-22T09:31:33;63bb232e-3fae-4a9d-87e8-80f1eef49ecd;4
5;1ef2902a-9c47-47ee-afce-f18b5145653d;3d3e2a8e-09d6-4a89-9d56-fc618a433e0d;a0bcd14f-c51e-4263-b3ef-6199b6fa8dfc;2025-09-22T06:56:12;2025-09-22T00:52:05;false;2025-09-22T04:55:26;6b5a605b-af19-4413-b3ff-5189c6f30f3b;5
6;79b55172-6c87-408c-b46e-88fee5293997;141f2de0-409a-4d21-92ca-3a992d623072;8c494310-dfee-44d2-ba2f-a3ad85836316;2025-09-22T05:09:39;2025-09-22T11:29:05;false;2025-09-22T10:17:21;39c7dd2f-54d8-4f8f-92fb-22b5695834c6;6
7;1849c032-827b-4be5-be3a-2eb1682dbb99;84f74db2-83a0-4ee0-9552-327d8f046247;4fc7749c-e285-49b0-8636-fb9bafb1c21f;2025-09-22T08:44:17;2025-09-22T08:47:38;true;2025-09-21T12:56:46;7c5954b2-525c-4e09-8ce1-51974c6058b0;7
8;ca0b0042-6cc5-4c0f-98f0-6bced97f87d1;68247c0c-e277-4622-8757-676513af39f0;6c46fdbf-fda9-436c-98ae-c25c40f03bde;2025-09-22T03:46:59;2025-09-22T07:37:48;true;2025-09-21T19:19:25;0880a76b-bb84-485b-8427-351178560cb4;8
9;31156980-7fb8-4b0e-bf27-d518765f7f7e;6470e22d-f58d-4b1a-9ce9-67a15384693b;eb9fcc63-8570-4562-b10f-572dd5023b12;2025-09-22T05:24:11;2025-09-21T23:47:30;true;2025-09-21T23:32:08;7f9709ac-e44c-43e7-80ec-f65a749c195a;9
10;90e51922-f724-4d4e-9ba7-9b75cbdfc11a;4328cc23-6a7d-428b-b66c-756c92b566c1;fc17d3d9-7367-4c51-8002-5803d78439ea;2025-09-22T11:26:53;2025-09-21T23:30:05;true;2025-09-21T22:35:46;1f650981-8b02-4e92-8ce9-8c636e839398;10
