id;booking_code;status;quantity;total_amount;booked_at;customer_id;idempotency_key;trip_id;lock_group_id;expires_at;timeout_minutes;created_at;updated_at;is_deleted;deleted_at;deleted_by
1;humor awkwardly battle;DRAFT;20699;1855.66;2025-10-04T15:39:13;c11ef6ee-ffb6-4ce6-a83b-05a1460e3e94;short-term the;15177;save;2025-10-04T10:11:28;29578;2025-10-04T14:23:52;2025-10-05T08:12:43;false;2025-10-04T13:25:12;142d29c5-24d2-4dcc-b736-9ce0d8e32c5c
2;lest gee;AWAITING_PAYMENT;5518;22088.2;2025-10-04T10:27:27;02f2d0c2-209f-40e4-b85a-addf608283b2;dream;21561;actually opposite gnash;2025-10-04T15:14:47;25771;2025-10-05T07:06:29;2025-10-05T00:05:57;true;2025-10-04T15:51:26;602bd739-4ba3-42c9-93b1-65fa824ca0f6
3;meh illusion;AWAITING_PAYMENT;25658;1264.67;2025-10-04T10:33:25;47244089-d67c-4b9d-bd00-07b6475944cb;ugh absent;4115;gadzooks tabulate;2025-10-05T03:07:33;10985;2025-10-05T02:07:43;2025-10-04T10:20:34;true;2025-10-04T19:52:35;0de48210-6c15-4481-9238-5a968cc2d58e
4;lonely among plus;CANCELED;30336;12058.02;2025-10-05T03:43:26;a45a2903-c7da-4188-ae64-9a0c5e31848a;supposing;24385;awkwardly;2025-10-05T06:09:11;2499;2025-10-04T18:09:31;2025-10-04T14:33:44;false;2025-10-04T16:50:38;cf6fd98e-d96c-43ba-9d56-43459c3749e0
5;gad like;CONFIRMED;24772;5894.3;2025-10-04T10:32:52;8eac5043-43c2-43ec-a18b-e24a9824f2c5;yet;25577;yowza triumphantly;2025-10-04T22:10:02;25650;2025-10-04T15:47:38;2025-10-04T19:58:19;true;2025-10-04T18:29:14;5c810def-7209-4ec6-b386-00aec357312e
6;than sting slipper;AWAITING_PAYMENT;26063;8617.27;2025-10-04T13:25:02;7d609768-2c51-4b20-90c6-232f6ad92cc8;sting unethically;29650;bah remorseful that;2025-10-04T09:59:40;7351;2025-10-05T00:53:43;2025-10-04T14:02:55;true;2025-10-05T05:30:55;6c771eae-c88c-4ee0-854b-01f3e680578d
7;imaginative instead;REFUNDED;30815;265.81;2025-10-04T14:09:00;135c49d4-9423-4c79-ac28-30aea8f1eda5;suddenly;10952;only pendant satirize;2025-10-04T16:13:42;30279;2025-10-04T10:45:34;2025-10-05T02:18:28;false;2025-10-05T01:27:35;6cb64680-2722-4a29-b526-b35764b4aca5
8;longingly under;DRAFT;7203;11381.49;2025-10-05T03:22:21;322bbc1c-70d5-4ad3-8d2c-e65bedc0f80f;shakily heartfelt;20060;allegation;2025-10-04T22:09:07;7716;2025-10-04T22:11:32;2025-10-04T21:20:42;false;2025-10-04T23:07:46;11574976-3e47-432b-b382-f27da2e6f80e
9;lively now;AWAITING_PAYMENT;19524;2367.14;2025-10-05T05:48:18;d6c69e1d-dea2-426c-bed3-69c229cd8378;oof unfortunately;25209;shoulder;2025-10-04T10:36:37;23633;2025-10-05T05:32:44;2025-10-05T04:21:25;true;2025-10-04T17:27:00;124221da-4ab0-4e53-b156-d45ef8d869cf
10;why round yet;CONFIRMED;27405;23860.01;2025-10-05T06:44:24;b2e6f338-e89b-41f5-8df6-86ca164db089;swing folklore;13233;in-joke zowie appropriate;2025-10-04T16:49:16;8796;2025-10-04T20:59:30;2025-10-05T07:37:29;false;2025-10-05T07:34:17;9204dda8-87a2-4b3e-b89b-a6d8a0c5e492
