id;promotion_id;promotion_code;policy_type;percent;max_off;discount_amount;applied_at;created_at;updated_at;is_deleted;deleted_at;deleted_by;booking_id
1;8e503bc6-2fa9-40e0-b011-d754bd350dca;gee potentially swiftly;ascertain whoever rightfully;28708;1914.57;21061.84;2025-09-28T03:47:50;2025-09-27T21:20:34;2025-09-27T09:23:54;false;2025-09-27T08:25:52;a29e8b4f-aab3-43ed-a25d-9f8da7bc0325;1
2;a62d271d-e23f-4899-88c8-cf16ea2f4f60;phooey what meanwhile;rich mmm capitalise;12454;18993.76;3749.39;2025-09-28T03:24:24;2025-09-27T11:41:41;2025-09-27T15:14:37;true;2025-09-27T09:13:06;9df6f37e-49ef-4a99-a364-667045cfc8bc;2
3;116f028e-95aa-4c37-868b-4ad002b911e1;psst;feminize illiterate;29905;3183.36;9038.59;2025-09-28T02:39:59;2025-09-27T12:49:05;2025-09-28T07:00:15;false;2025-09-27T18:12:04;e63898ff-512f-4c0e-a497-2e2bfe314e1a;3
4;0d395370-bea5-4fda-bb4e-0ad5c6ff66cf;or next roadway;bah;19283;4719.73;12936.23;2025-09-27T18:29:59;2025-09-27T18:45:23;2025-09-27T22:44:28;false;2025-09-27T17:59:16;fccaa49b-2ae2-490a-a12b-19141e22b216;4
5;b674806b-492b-494b-839e-372194805262;until thread;drat proliferate;4862;31634.52;19478.7;2025-09-27T16:26:45;2025-09-28T02:58:19;2025-09-27T12:43:41;true;2025-09-27T19:59:35;0d0a481a-22cf-4af0-ace3-6cb93cfecea0;5
6;ae0ce9bf-7e61-49e8-8311-2f964209a8cd;blah round;oh seal uh-huh;697;13935.53;9184.16;2025-09-27T10:16:51;2025-09-27T19:52:49;2025-09-27T16:21:06;true;2025-09-27T10:42:28;409821be-5d08-427f-8676-e851fdcf759e;6
7;4259be42-fcfc-4b1b-afb1-20413d6c807a;fixed forenenst scuttle;geez whether;22515;14918.96;25964;2025-09-28T04:28:40;2025-09-28T07:43:24;2025-09-27T15:36:06;true;2025-09-27T10:55:20;c497ee3a-602e-4247-acd9-7a770b6e3c5d;7
8;50be008f-0a4c-405c-943e-faad4af1cac0;along;suddenly a procrastinate;67;12106.98;26223.63;2025-09-28T00:32:35;2025-09-27T18:29:38;2025-09-28T04:25:22;true;2025-09-27T09:10:24;27780e19-7bd2-4d34-a110-7c483f2dc57f;8
9;4324143a-c47d-44f9-b66b-04f8c8d69466;when mad quart;crocodile of than;17195;10532.47;3003.25;2025-09-27T10:04:56;2025-09-27T08:17:24;2025-09-27T10:59:34;false;2025-09-27T21:19:08;82533f47-244a-4eb1-9a84-efcb82740715;9
10;baba88f7-db40-4efa-9d91-f3dce8ac864d;trek alliance what;hm meanwhile;24489;5499.12;13455.45;2025-09-27T08:41:44;2025-09-27T10:33:37;2025-09-27T16:35:18;true;2025-09-27T19:58:33;fe174435-5700-4ff6-b43c-4b36d463e637;10
